name,symbol,price_usd,market_cap,24h_change_%,volume_24h,scraped_at
Bitcoin,BTC,60252.0,1207856221554,-0.04,15905818469,2026-06-28 11:56:01 UTC
Ethereum,ETH,1580.84,190759569469,-0.04,6583563524,2026-06-28 11:56:01 UTC
Tether,USDT,0.998584,186072243151,0.0,26614039897,2026-06-28 11:56:01 UTC
BNB,BNB,555.93,74926160556,-1.14,491872908,2026-06-28 11:56:01 UTC
USDC,USDC,0.999742,73724249877,0.0,5902148155,2026-06-28 11:56:01 UTC
XRP,XRP,1.051,65385201823,-0.59,1113634204,2026-06-28 11:56:01 UTC
Solana,SOL,71.81,41701536278,0.16,1729686089,2026-06-28 11:56:01 UTC
TRON,TRX,0.323065,30638809855,0.73,428205587,2026-06-28 11:56:01 UTC
Figure Heloc,FIGR_HELOC,1.044,20163932936,1.52,129568628,2026-06-28 11:56:01 UTC
Hyperliquid,HYPE,63.14,14040424689,-0.39,357691607,2026-06-28 11:56:01 UTC
Dogecoin,DOGE,0.073699,11411050935,-1.97,448374063,2026-06-28 11:56:01 UTC
USDS,USDS,0.999558,10340469848,0.01,9218423,2026-06-28 11:56:01 UTC
Rain,RAIN,0.01550721,10263502042,-0.53,40424389,2026-06-28 11:56:01 UTC
LEO Token,LEO,9.41,8658419046,0.14,824944,2026-06-28 11:56:01 UTC
Zcash,ZEC,385.51,6472083546,-5.47,221491173,2026-06-28 11:56:01 UTC
Canton,CC,0.152535,5937563743,1.28,6155087,2026-06-28 11:56:01 UTC
Monero,XMR,311.37,5844517833,-1.18,80176190,2026-06-28 11:56:01 UTC
Stellar,XLM,0.171619,5824218885,-2.63,122025354,2026-06-28 11:56:01 UTC
WhiteBIT Coin,WBT,48.07,5681091542,-0.23,34255685,2026-06-28 11:56:01 UTC
Chainlink,LINK,7.27,5438252093,-0.94,135976048,2026-06-28 11:56:01 UTC
